,Selling_Price,Present_Price,Kms_Driven,Owner,Years_used,Fuel_Type_Diesel,Fuel_Type_Petrol,Seller_Type_Individual,Transmission_Manual
0,0.09312320916905445,0.057108799306458596,0.05305305305305305,0,0.26666666666666666,0,1,0,1
1,0.1332378223495702,0.09991330732553098,0.08508508508508508,0,0.3333333333333333,1,0,0,1
2,0.20487106017191978,0.10327264846120501,0.012812812812812813,0,0.06666666666666667,0,1,0,1
3,0.07879656160458454,0.041504117902037285,0.00940940940940941,0,0.4666666666666667,0,1,0,1
4,0.12893982808022922,0.07097962722149978,0.08398398398398399,0,0.26666666666666666,1,0,0,1
5,0.26217765042979946,0.10305591677503251,0.0031451451451451453,0,0.0,1,0,0,1
6,0.19054441260744986,0.08452535760728218,0.03662862862862863,0,0.2,0,1,0,1
7,0.18338108882521492,0.08983528391850888,0.06592392392392392,0,0.2,1,0,0,1
8,0.24785100286532954,0.09286952752492414,0.039585585585585586,0,0.13333333333333333,1,0,0,1
9,0.21060171919770776,0.09319462505418291,0.08381781781781782,0,0.2,1,0,0,1
10,0.07879656160458454,0.035543996532293023,0.003273273273273273,0,0.06666666666666667,0,1,0,1
11,0.19340974212034384,0.10901603814477677,0.1011011011011011,0,0.2,1,0,0,1
12,0.21203438395415475,0.10424794104898136,0.02902902902902903,0,0.2,0,1,0,0
13,0.17191977077363899,0.08008235804074555,0.05105105105105105,0,0.2,0,1,0,1
14,0.06160458452722063,0.0746640658864326,0.154008008008008,0,0.6,0,1,0,1
15,0.2191977077363897,0.11345903771131338,0.08508508508508508,0,0.13333333333333333,1,0,0,1
16,0.20487106017191978,0.11345903771131338,0.08243843843843844,0,0.2,1,0,0,1
17,0.2191977077363897,0.11345903771131338,0.08508508508508508,0,0.13333333333333333,1,0,0,1
18,0.09025787965616046,0.05169050715214564,0.07007007007007007,0,0.2,0,0,0,1
19,0.07306590257879655,0.08300823580407456,0.08196596596596596,0,0.5333333333333333,0,1,0,1
20,0.07879656160458454,0.0393368010403121,0.04904904904904905,0,0.13333333333333333,0,1,0,1
21,0.1375358166189112,0.05840918942349371,0.0038038038038038036,0,0.06666666666666667,0,1,0,1
22,0.12320916905444129,0.08333333333333333,0.0990990990990991,0,0.4666666666666667,0,1,0,0
23,0.06876790830945559,0.034026874729085395,0.08964964964964965,0,0.26666666666666666,0,1,0,1
24,0.08022922636103151,0.044321629822280016,0.11287087087087087,0,0.3333333333333333,0,1,0,1
25,0.0830945558739255,0.05060684872128305,0.03903903903903904,0,0.4666666666666667,0,1,0,1
26,0.11604584527220634,0.06014304291287386,0.10938538538538539,0,0.3333333333333333,0,1,0,1
27,0.169054441260745,0.06686172518422193,0.03143143143143143,0,0.06666666666666667,0,1,1,1
28,0.05300859598853868,0.0393368010403121,0.08817217217217217,0,0.5333333333333333,0,1,0,1
29,0.21060171919770776,0.10901603814477677,0.0890890890890891,0,0.2,1,0,0,1
30,0.08595988538681949,0.06133506718682272,0.10197997997997998,0,0.4,1,0,0,1
31,0.06446991404011461,0.04952319029042045,0.10750750750750751,0,0.4666666666666667,0,1,0,1
